text,label
বই পড়তে ভালোবাসি | এটা আমাকে অনেক কিছু শেখায়,No
আমার বুক অনেক জ্বালা পুড়া করে। মনে হয় কিছু অনেক ভাড়ি কিছু অনেক জোরে চাপ দিচ্ছে বুকে।,Yes
আজকে অনেক ভালো খাবার খেয়েছি | মনটা খুব ভালো আছে। | আমার মন ভরে গেছে সুখে।,No
আমি বেশিক্ষন দাঁড়িয়ে থাকতে পারি না,Yes
"গ্রামের বাগানগুলো আর আগের মতো প্রাণবন্ত ছিল না, কিছুটা মন খারাপ হয়ে গেল!",No
"ফুটবল ম্যাচে আমাদের দল যে ভুল করেছে, তা আমাকে সত্যিই হতাশ এবং রাগান্বিত করেছে!",No
"গ্রামে এসে বুঝলাম, অনেক কিছু এখন আগের মতো নেই, মনটা ভারী হয়ে গেল!",No
"গ্রামের মেলা আগের মতো জমজমাট ছিল না, এটা দেখে কিছুটা দুঃখী হয়ে গেছি!",No
আমি একটা নতুন বন্ধু পেয়েছি | খুব ভালো লাগছে।,No
আমি সমুদ্রের পাশে ঘুরছি | খুব শান্তি পাচ্ছি। | প্রকৃতির সৌন্দর্যে মুগ্ধ হয়ে গেছি।,No
"গ্রামের ছোট খোকা-খুকিরা দারুণ খুশি ছিল, তাদের খুশি দেখে আমি খুব ভালো লাগলো!",No
আমার পায়খানা করতে অনেক কষ্ট হয়। পায়ু পথে অনেক ব্যথা করে। অনেক জ্বলে,Yes
আমার বাম হাতে জোর পাচ্ছি না। কোনো কাজ করতে পারছি না।,Yes
আমার মেয়ের চোখ অনেক বেশি ব্যথা করে আর তার জন্য মাথাও ব্যথা করে।,Yes
আমার মুখে রুচি নেই আর পেট ব্যথার কারণে কিছু খেতে পারছি না।,Yes
আমার চোখ শুকিয়ে আসে আর আঠালো লাগে,Yes
"গ্রামের মাঠগুলো এখন আগের মতো সবুজ নেই, খুব মন খারাপ লাগছে!",No
"সবাই আমাকে দোষ দেয়, কিন্তু নিজের ভুল কেউ দেখে না!",No
আমি কোথাও তাকালে পর্দার মত পরতে দেখি খুব অস্বস্তি লাগে তখন,Yes
আজ আমি অনেক প্রশান্তি অনুভব করছি।,No
"আজ স্কুলে সেরা হওয়ার পরেও কিছু ভালো লাগছে না, মনটা খুব খালি!",No
আজকের দিনটা আমার জন্য খুবই বিষণ্ণতাপূর্ণ। কোনো কিছুই ঠিকঠাক হচ্ছে না।,No
আমার পেট ফুলে শক্ত হয়ে আছে আর অনেক ভাড়ি মনে হচ্ছে।,Yes
আজ বাজারে গিয়ে অস্থির পরিবেশ দেখে বিরক্ত হয়ে গেলাম!,No
আমি প্রস্রাব করার সময় অনেক জ্বলে আর প্রস্রাবের রঙও হলদে,Yes
আমার মেয়ের দাঁতে কালো দাগ পরে যাচ্ছে আর মুখ থেকে দুর্গন্ধ বের হয়,Yes
আমার বাবার অনেক জ্বর আর সাথে পাতলা পায়খানা হচ্ছে,Yes
পিরিয়ড হলে রক্তে প্রচুর দূর্গন্ধ হয়।,Yes
আমার অনেক অস্থির লাগে আর বুক ধরফর করে,Yes
আমার ছেলে হঠাৎ করে লাইট এর দিকে তাকালে অনেকটা রংধনুর মত রঙ দেখতে থাকে,Yes
আজকের দিনটা আমার জন্য খুবই বিষাদময়। সবকিছু যেন অন্ধকার।,No
"আমার মা ভাড়ি কোনো জিনিস বহন করতে পারে না মাজা, হাত, পা প্রচন্ড ব্যথা করে",Yes
"গ্রামে ফিরে এসে অনেক কিছু বদলে গিয়েছে, কিছুটা মন খারাপ লাগছে!",No
"বাজারে এসে বেশ ভালো লাগছে, নানা রকম পণ্য আর মিষ্টি গন্ধে পরিবেশটা অনেক প্রাণবন্ত! আজকের বাজারটা খুব জমজমাট, মানুষজন হাসি-খুশিতে মগ্ন।",No
আমার মুখে অনেক বড় বড় ব্রণ হয় আর এগুলো অনেক ব্যথা করে,Yes
আজকের দিনটা আমার জন্য খুবই অসহনীয়। আমার সব স্বপ্ন ভেঙে গেছে।,No
তোমার সঙ্গে আড্ডা দেওয়া সবসময়ই মজার হয় | অনেক হাসলাম,No
"গ্রামের রাস্তা এত খারাপ হয়ে গেছে, আমি খুব রেগে গেছি!",No
রোদে যাওয়ার সাথে সাথে আমার মাথা ধরে যায়,Yes
আজ আমি অনেক ক্ষুব্ধ বোধ করছি। আমার সব পরিকল্পনা ভেঙে গেছে।,No
"নদীর পানিতে এত বিষাক্ত পদার্থ, এটা দেখে খুব দুঃখিত!",No
আজকের আন্তর্জাতিক ফুটবল ম্যাচে আম্পায়ারের সিদ্ধান্ত আমাকে সত্যিই রাগিয়ে দিয়েছে!,No
আমার আব্বুর বাম হাতের আর বাম পায়ের বৃদ্ধ আঙ্গুল ফুলে আছে আর অনেক ব্যথা করছে,Yes
আমার বোন অনেক রোগা হয়ে যাচ্ছে,Yes
আমার মেয়ে অতিরিক্ত চিন্তা করে আর ঠিকমত খাওয়া দাওয়া করছে না। অনেক দুর্বল হয়ে যাচ্ছে,Yes
"শহরের রাস্তায় হাঁটতে গিয়ে অনেক ভালো লাগলো, চারপাশের লোকজনও হাসি মুখে ছিল!",No
আমার মা ধুলা ময়লা গেলেই চোখ খুব চুল্কায় আর লাল হয়ে যায়,Yes
"আজকের কনসার্টে গানের পরিবেশন এতই ভালো ছিল, আমি মুগ্ধ!",No
এই খাবারটি বেশ ভালো 🍲,No
"গ্রামে কিছু লোক নিজেদের স্বার্থে অন্যদের ক্ষতি করছে, যা দেখে খুব রাগ লাগছে! তারা সমাজের শান্তি বিনষ্ট করছে এবং নিজেদের স্বার্থে অন্যদের দুর্ভোগে ফেলে দিচ্ছে, এটা একেবারেই অগ্রহণযোগ্য!",No
আজ একটা নতুন বন্ধু পেলাম | ও খুব ভালো মানুষ,No
"আজকের সকালে গ্রামের প্রকৃতি এত সুন্দর ছিল, খুব আনন্দিত অনুভব করলাম!",No
নিপল অনেক ব্যথা করে আর ফুলে গিয়েছে আর চাপ দিলে সাদা পুঁজের মত বের হয় এবং অনেক দূর্গন্ধ।,Yes
আমি প্রকৃতির মাঝে সময় কাটাচ্ছি | খুব শান্তি পাচ্ছি।,No
আমার পেট ব্যথা করে,Yes
"আমার বাবার পিঠ, মাজা অনেক ব্যথা করে",Yes
আমার মেয়ে লাইট এর দিকে তাকালে বিভিন্ন রঙ দেখতে থাকে। অনেকটা রংধনুর মত,Yes
"গ্রামের বাড়িতে ফিরে আসতে মনে হলো আগের মতো কিছু আর নেই, মনটা ভারী হয়ে গেল!",No
"আমি এতক্ষণ ধরে অপেক্ষা করছি, অথচ তুমি কোনো গুরুত্ব দিচ্ছো না!",No
আমার স্তনে প্রচন্ড ব্যথা করে। প্রায় এক মাস ধরে আমার স্তনে শক্ত দলার মত মনে হচ্ছে গোলাকার এবং এটা আস্তে আস্তে বড় হচ্ছে।,Yes
আমার বোনের স্তন ফুলে লাল হয়ে আছে,Yes
ফুটবল ম্যাচে আমাদের দলের প্রতিপক্ষের কাছে পরাজয় আমাদের মন খারাপ করে দিয়েছে!,No
আমার প্রায় ৩ সপ্তাহ ধরে খুশখুশে কাশি,Yes
আমার অনেক নার্ভাস লাগে। ক্লান্ত লাগে। আর অনেক ঘাম হয়।,Yes
"নদীর পানিতে ছোট ছোট ঢেউ খেলছিল, খুব সুন্দর দৃশ্য ছিল!",No
আমার কপালে গোটার মত বের হইসে,Yes
"গ্রামের সবুজ মাঠে বসে শান্তি অনুভব করছি, চারপাশের প্রকৃতি মন ভালো করে দেয়! আজকের দিনটা সত্যিই অসাধারণ কেটেছে, প্রকৃতির সাথে মিলেমিশে এক দারুণ অনুভূতি হচ্ছে। এই পরিবেশে কিছু সময় কাটানো সব ক্লান্তি দূর করে দেয়, মনে হচ্ছে মনটা একদম সতেজ হয়ে গেছে!",No
আমার স্তনের নিপল দিয়ে দুধের মত সাদা রস বের হতে থাকে,Yes
আজকের দিনটা অনেক ইতিবাচকভাবে কাটলো | নিজেকে ভাগ্যবান মনে হচ্ছে,No
আমার মেয়ের নিপলে লাল গোটার মত বের হয়েছে এবং লাল হয়ে আছে।,Yes
আজকে শহরের ফুটবল ম্যাচ দেখতে গিয়ে অনেক মজা পেয়েছি!,No
আমার মেয়ের বাম স্তন অনেক ব্যথা করছে,Yes
"নদীটি শহরের পাশ দিয়ে প্রবাহিত হচ্ছে, খুব সুন্দর দৃশ্য ছিল!",No
"আজ ঐতিহাসিক স্থাপনাগুলির অবস্থায় খুব রেগে গেছি, কেন এত অবহেলা?",No
আমার বাচ্চার ৬ মাস বয়স কিন্তু ও ঠিকমত বুকের দুধ খেতে চায় না। শুধু কান্না করে,Yes
আমার মেয়ের রাতের বেলা জ্বর আসে।,Yes
বাজারে নতুন আসা পোশাকের ডিজাইন দেখে খুব ভালো লাগলো!,No
"তুমি আমার জীবনে যে অমূল্য উপহার, তা আমি কখনো ভুলব না। প্রতিটি মুহূর্তে তুমি আমার হৃদয়ে আনন্দের একটি নতুন স্তর যোগ করো, এবং আমি কখনো চাই না তোমাকে ছেড়ে যাই। তুমি আমার সব কিছু, এবং আমি তোমাকে চিরকাল ভালোবাসব।",No
শহরের পার্কে বসে আকাশের দিকে তাকিয়ে অনেক শান্তি অনুভব করলাম!,No
"বাজারে এসে সব কিছু এত সুন্দরভাবে সাজানো ছিল, মনটা খুব ভালো হয়ে গেলো!",No
"আমার মাসেলে অনেক ব্যথা করে, ঘুম ঠিকমত হয় না। অনেক ক্লান্ত লাগে।",Yes
আমার বাবার চোখে ছানি পরেছে মাকড়শার জালের মত দেখে। ঠিকমত দেখতে পারে না,Yes
আজকের আন্তর্জাতিক ফুটবল ম্যাচে আমাদের দলের দুর্দান্ত পারফরম্যান্স দেখে সত্যিই মুগ্ধ হলাম!,No
আজ ঐতিহাসিক স্থানগুলির শোচনীয় অবস্থা দেখে খুব বিরক্ত হলাম!,No
"এটা একেবারে অস্বাভাবিক, কেন আমি সব সময় এমন অবহেলা পাই? আমি ঠিক মতো কিছু বললেই সবাই আমার উপর চড়াও হয়। আজ আমি খুব রেগে গেছি, কিছুতেই শান্তি পাচ্ছি না। সবাই কি বুঝতে পারে না যে, আমারও কিছু অনুভূতি আছে?",No
আমার মায়ের পায়ে পানি আসে,Yes
আজকের দিনটা আমার জন্য খুবই অসহ্য। কিছুই ঠিকঠাক চলছে না।,No
"গ্রামের সব কিছু এলোমেলো হয়ে গেছে, আমি সত্যিই ক্ষিপ্ত!",No
আমার দাঁত শিরশির করে। ঠান্ডা বা গরম কিছু খেতে পারি না। অনেক অস্বস্তি লাগে।,Yes
আজ ঐতিহাসিক স্থানগুলি নষ্ট হয়ে যাওয়ার জন্য খুব রেগে গেছি!,No
বিগত কয়েক বেলা আমার অনেক বুকে ব্যথা হচ্ছে,Yes
আমার মাঝে মাঝেই হজমে সমস্যা হয়। পেট ফুলে ফেপে থাকে আর অনেক ব্যথা করে। ,Yes
আজকের দিনটা আমার জন্য খুবই অসহনীয়। কোনো কিছুই ঠিকঠাক হচ্ছে না।,No
আমার নাক বন্ধ আর সর্দির সাথে রক্ত পরে,Yes
আমার জিহ্বায় ঘা হয়েছে প্রায় অনেকদিন হল। এখনো ঠিক হচ্ছে না। ,Yes
আমি একটি সুন্দর সকাল কাটাচ্ছি | খুব শান্তি পাচ্ছি।,No
আমার বাবা কোনো শব্দ বেশিক্ষন সহ্য করতে পারে না। অনেক মাথা ব্যথা করে,Yes
আমার মাড়ি থেকে রক্ত পরছে অনবরত থামছেই না,Yes
"তোমার আচরণে আমি পুরোপুরি হতাশ, এবং আমি আর এটা সহ্য করতে পারছি না। তুমি যদি এমন চলতে থাকো, তাহলে আমাদের সম্পর্কের কোনো ভবিষ্যত থাকবে না। আমি চাই, তুমি আমার অনুভূতিগুলোকে একটু মূল্য দাও।",No
আজকের কাজটা অনেক সুন্দরভাবে শেষ করলাম | খুব ভালো লাগছে,No
আমি হঠাৎ করে লাইট এর দিকে তাকালে বিভিন্ন রঙ দেখতে থাকি। অনেকটা রংধনুর মত,Yes
আমি চশমা পরে বেশিক্ষন থাকলে ঠিকমত দেখতে পারি না কিন্তু চশমা পরার পরপরই ঠিকমতই দেখতে পারি কিছুক্ষন যাওয়ার পর আর ভালো করে দেখতে পারি না,Yes
এই পরিস্থিতি আমাকে প্রচণ্ড রেগে দিয়েছে।,No
"আমার অনেক মাথা ঘোরায়, হার্ট বিট বেড়ে যায়। বমি হয়।",Yes
"আমার ছেলে কাজে ঠিকমত মনোযোগ দিতে পারি না, ঘুম ঠিকমত হয় না খুব তারাতারি ভুলে যাই।",Yes
"আজ ঐতিহাসিক দুর্গ দেখলাম, কিন্তু কিছুই ঠিকঠাক নেই, খুব রাগ লাগছে!",No
"বাবা-মা একে অপরকে কোনো কথা বলছে না, আমি খুব রাগছি!",No
আমার মনটা আজ খুবই অবসন্ন। কিছুই ভালো লাগছে না।,No
আমার অনেক অস্থিরতা কাজ করে আর অনেক চিন্তা করি। তখন আমার প্রচন্ড ঘাম হয় আর আমার গলা শুকিয়ে যায়।,Yes
আমার আব্বুর কানে অনেক ব্যথা করে আর ঠিকমত শুনতে পারে না,Yes
আমার প্রস্রাবের অনেক চাপ আসে কিন্তু সেই তুলনায় খুব কম প্রস্রাব হয়। আর অনেক ব্যথা করে।,Yes
আমি একটি সুন্দর দিন শেষ করছি | খুব শান্তি পাচ্ছি।,No
আমি কিছু নির্দিষ্ট শব্দ শুনতে পাই না।,Yes
আজ বাজারে গিয়ে অব্যবস্থাপনা দেখে আমি খুব রেগে গেছি!,No
"আজকের ম্যাচে আমাদের পরাজয় দেখে মনে হলো, খুব কঠিন সময় পার করতে হবে!",No
পরিবেশ দূষণ হচ্ছে | খুব রাগ হচ্ছে। | আমাদের ভবিষ্যত বিপন্ন হচ্ছে।,No
আমার আম্মুর জরায়ুর অপারেশন হউয়ার পরেও পেটে অনেক ব্যথা করে,Yes
আজ ঐতিহাসিক কেল্লার অবস্থা দেখে রাগে টগবগ করে উঠলাম!,No
আজ আমি অনেক আশাবাদী বোধ করছি। ভবিষ্যৎ নিয়ে অনেক স্বপ্ন দেখছি।,No
"আজকের চিঠিটি আমাকে বিরক্ত করেছে, কিছু খারাপ মন্তব্য ছিল!",No
আজ আমার মনটা খুবই প্রফুল্ল। সবকিছু যেন সুন্দরভাবে চলছে।,No
এই অর্জন আমাকে সত্যিই আনন্দিত করেছে।,No
"আজকের রাতে গ্রামের আকাশে এত তারকা দেখা যাচ্ছিল, একেবারে মুগ্ধ হয়ে গিয়েছিলাম!",No
"চিঠির মাধ্যমে শুনলাম অনেক খারাপ খবর, খুব দুঃখিত হলাম!",No
আজকের দিনটা আমার জন্য খুবই বিরক্তিপূর্ণ।,No
আমার অনেক নার্ভাস লাগে। ক্লান্ত লাগে। আর অনেক ঘাম হয়।,Yes
আমার বাচ্চার শরীর অনেক খশখশে হয়ে থাকে আর ফেটে যায়,Yes
আমার দাদুর প্রচন্ড বুকে ব্যথা করে আর জোরে হাঁটতে গেলে বুক ধরফর করে,Yes
আমার অনেক চোখ ব্যথা করে,Yes
আমি দূরের জিনিস দেখতে পারি না। দূর থেকে লিখা সব ঝাপ্সা দেখি।,Yes
"বিশ্বে এমন কেউ নেই, যেভাবে তুমি আমাকে অনুভব করাও। তোমার প্রেম আমার জীবনকে এত আনন্দিত করেছে, আমি কখনোই ভাবিনি এত সুখী হতে পারব। যখন আমি তোমার কাছে থাকি, সব কিছু যেন সঠিক জায়গায় এসে পৌঁছায়। তোমার সঙ্গে কাটানো প্রতিটি মুহূর্ত সেরা অনুভূতি।",No
আমার মনে হয় অ্যাপেনডিসাইটিসের ব্যথা করছে অনেক,Yes
"আজ আর আমি কোনো কিছু সহ্য করতে পারছি না, এতদিন ধৈর্য ধরেছি, কিন্তু আর পারছি না। সব কিছু একে একে খারাপ হয়ে যাচ্ছে, আমি সত্যিই রেগে গেছি।",No
আমার বোনের নিপল অনেক চুল্কায়,Yes
নদীটির পাশে তাজা বাতাসে আমি খুব ভালো অনুভব করলাম!,No
আমার কপালে গোটার মত বের হয়েছে,Yes
আমার মামার প্রেসার অনেক নিচে নেমে যাওয়ার পর হঠাৎ করে দাঁড়ানো অবস্থায় পরে যায়। আর অজ্ঞ্যান হয়ে যায়। জ্ঞ্যান আসার পর থেকে বমি করেই যাচ্ছে,Yes
আমার মেয়ে কোথাও তাকালে পর্দার মত পরতে দেখে ওর খুব অস্বস্তি লাগে তখন,Yes
আমার কয়েকদিন যাবত পায়ের তালু ব্যথা করে,Yes
আমার অনেক পায়খানার চাপ আসে কিন্তু পায়খানা করতে গেলে পায়খানা অনেক কশা হয়ে থাকে। এতে করে আমার পেটেও অনেক ব্যথা করে,Yes
"আমি কাজে ঠিকমত মনোযোগ দিতে পারি না, ঘুম ঠিকমত হয় না খুব তারাতারি ভুলে যাই।",Yes
আমার ছেলের চোখের মনি অনেক বেশি ব্যথা করে আর পানি পরতে থাকে,Yes
"শহরের পার্কগুলো এত নোংরা, আমি রেগে গেছি!",No
চোখের জল থামাতে পারছি না | জীবন যেন অর্থহীন মনে হচ্ছে। | আমার মনে কোনো আশা নেই।,No
মনটা ভীষণ খারাপ কেউ আমার কাছে নেই।,No
আমার বাচ্চার গায়ে ছোট ছোট লাল গুটির মত হচ্ছে আর গায়ে প্রচুর জ্বর,Yes
"এই সিনেমায় এত ভুল ছিল, আমি পুরোটা দেখে রেগে গেছি!",No
আমি কোনো বিষয় নিয়ে অতিরিক্ত টেনশন করি,Yes
"আজ রাজস্থান ঘুরে দেখলাম, ঐতিহাসিক রাজবাড়ি ও দুর্গের সৌন্দর্য আমাকে মুগ্ধ করেছে!",No
আজকের দিনটা আমার জন্য খুবই রাগান্বিত। কোনো কিছুই ঠিকঠাক হচ্ছে না।,No
"আজ বাজারে গিয়ে লোকজন খুবই অস্থির ছিল, সব কিছুই সমস্যা হয়ে দাঁড়িয়েছে!",No
"যখন কেউ প্রতিশ্রুতি ভাঙে, তখন সত্যিই খুব রাগ হয়!",No
আমার শরীর অনেক দূর্বল লাগে আর কথা বলতে অসুবিধা হয়।,Yes
আমি আমার গায়ের রঙ উজ্জ্বল করতে চাই,Yes
"আজ পরিবারের সবার সাথে ছোট্ট ঘরোয়া পার্টি করেছি, মজা পেয়েছি!",No
"ক্রিকেট ম্যাচে হারার পর দলের সবাই হতাশ, এটি ছিল অপ্রত্যাশিত!",No
"তুমি হলেই আমার পৃথিবীটা উজ্জ্বল এবং পূর্ণ হয়ে যায়। প্রতিবার আমরা কথা বললে, আমার হৃদয়টা এক তুমুল আনন্দে ভরে ওঠে, আর আমি শুধু ভাবি, কত ভাগ্যবান আমি যে তোমাকে আমার জীবনে পেয়েছি। তুমি আমার জীবনে যে সুখ নিয়ে এসেছ, তা আমি কল্পনাও করিনি। আমি অপেক্ষা করছি আমাদের ভবিষ্যতের জন্য, যেখানে তুমি আর আমি একসঙ্গে থাকব।",No
"আজকে এক অবিশ্বাস্য সুন্দর চিঠি পেয়েছি, যা পড়ে অনেক শান্তি অনুভব করলাম!",No
আজ আমি অনেক রেগে গেছি।,No
"আজ ঐতিহাসিক কিছু স্থান দেখতে গিয়ে, বহু পুরানো দৃষ্টিভঙ্গির অভাব দেখলাম, মন খারাপ!",No
আমার একটু পরপরই ক্ষুধা লাগে। আর অনেক দূর্বল লাগে।,Yes
আমার ভাতিজির মুখে অনেক ব্রণ হচ্ছে,Yes
"গ্রামের পুরনো বাড়িগুলো এখন ধ্বংস হয়ে গেছে, আমি সত্যিই দুঃখিত!",No
"আজ স্কুলে একজন প্রিয় শিক্ষকের সাথে আলাদা হয়ে গেলাম, খুব দুঃখিত!",No
আমি একটা নতুন সিনেমা দেখছি | খুব ভালো লাগছে। | সিনেমাটি খুবই মনোজ্ঞ।,No
"আজ আমি এক ঐতিহাসিক স্থান দেখতে গিয়েছিলাম, কিন্তু তার পরিবেশ এতটাই নষ্ট হয়ে গেছে যে মন খারাপ হলো!",No
আমার তিন দিন যাবত অনেক গলা ব্যথা। ঢোক গিলতে গেলে অনেক ব্যথা করছে।,Yes
ক্রিকেট ম্যাচে আজকের পারফরম্যান্স দেখেই জানলাম আমরা কতটা শক্তিশালী দল!,No
"তোমার প্রতি ভালোবাসা এখন কেবল এক বিরাট শূন্যতা হয়ে গেছে। আমি জানি, তুমি বুঝতে পারছো না, কিন্তু আমি আমার অনুভূতিতে গভীরভাবে একা হয়ে গেছি। তোমার অযত্ন আর অবহেলা আমাকে দিনদিন আরো দূরে ঠেলে দিচ্ছে। আমি কিছুতেই আমার মনকে শান্ত রাখতে পারছি না, কারণ তুমি আর আগের মতো নেই।",No
"শহরের পরিবহন ব্যবস্থা এত খারাপ, আমি বিরক্ত হয়ে গেছি!",No
আমার মেয়ের স্তনের নিপল অনেক চুল্কায় আর সাদা ময়লার মত বের হয়।,Yes
আমার মায়ের অনেক বুকে ব্যথা হয় কাশি দেওয়ার সময় বুকে অনেক ব্যথা করে। আর আম্মুর শরীর অনেক দূর্বল হয়ে গিয়েছে।,Yes
"তুমি বারবার একই ভুল করছ, এটা খুবই বিরক্তিকর!",No
আমার পেটের ডান দিকে অনেক ব্যথা করে। সহ্য করার মত না,Yes
"গ্রামে অনেক ছেলেমেয়ে পড়াশোনার জন্য শহরে চলে যাচ্ছে, তাদের চলে যাওয়ার জন্য মনটা বিষণ্ণ হয়ে উঠছে! এখানে এমন অনেক শিশু আছে যারা একে অপরকে দেখে বড় হতে চাইছে, কিন্তু তাদের ভবিষ্যত আজকাল শুধু শহরের দিকে সীমাবদ্ধ হয়ে পড়ছে।",No
আমার কানে ঠক ঠক শব্দ হয়,Yes
আমার দাদুর ডায়াবেটিস কমছে না,Yes
আমার চোখ হঠাৎ করে খুব ব্যথা শুরু করে দেয়,Yes
আজকের দিনটা আমার জন্য খুবই দুঃখময়। কেউ আমাকে বুঝতে চায় না।,No
"আজ বাজারে গিয়ে বন্ধুদের সাথে গল্প করতে করতে অনেক আনন্দ পেয়েছি, সব কিছু ভালো লাগছে!",No
আমার অনেক দুর্বল লাগে,Yes
আমার মেয়ের ঠিকমত পিরিয়ড হয় না,Yes
একটু গরম লাগলেই আমার মাথা ঘুরায় এবং বমি বমি লাগে,Yes
আমার পায়ের আঙ্গুল ফুলে আছে আর প্রচুর ব্যথা করছে।,Yes
"আমার পিঠ, মাজা অনেক ব্যথা করে।",Yes
আমার মেয়ের চোখে ছানি পরেছে মাকড়শার জালের মত দেখে। ঠিকমত দেখতে পারে না,Yes
আজকের দিনটা আমার জন্য খুবই সুন্দর কাটছে। বন্ধুদের সাথে আড্ডা দিয়ে ভালো লাগছে।,No
আমার মুখ থেকে অনেক দুর্গন্ধ আসে,Yes
"চিঠি পেয়ে বুঝলাম, জীবনে কিছু হারানোও থাকে, মনটা খুব ভারী হয়ে গেল!",No
"নদীর পাড়ে বসে বই পড়তে খুব ভালো লাগলো, শান্ত পরিবেশ ছিল!",No
আমার ঠিকমত ঘুম হয় না অনেক অশান্তি লাগে,Yes
কালকে থেকে আমি চোখে ঝাপ্সা দেখছি,Yes
"আজ ঐতিহাসিক স্থানটির অবস্থা দেখে খুব মন খারাপ হলো, প্রাচীন স্থাপত্য এখন অনেকটাই নষ্ট হয়ে গেছে!",No
আমি চোখে ঝাপ্সা দেখি। কোনো কিছু পড়ার সময় চোখ জ্বলে,Yes
আমার ছেলের রাতের বেলা জ্বর আসে।,Yes
"আজকের কনসার্টে এত বাজে পরিবেশন ছিল, আমি সত্যিই ক্ষিপ্ত হয়ে গেছি!",No
আমার বাবার শরীর খুব ব্যথা করে আর ব্যথাটা একেক সময় একেক জায়গায় করে,Yes
আমার গলার দুই পাশে ফুলে গিয়েছে,Yes
আজকের দিনটা আমার জন্য খুবই অসহনীয়। কোনো কিছুই ঠিকঠাক হচ্ছে না।,No
আমার নিয়মিত পিরিয়ড হয় না,Yes
আমার নাতির বয়স ১ বছর। নাতির শরীরে লাল লাল দাগ পরেছে আর ও হয়ত অনেক ব্যথা পায় তাই কান্না করে। ওর জ্বরও আসছে,Yes
আজকের উজ্জ্বল সূর্য এবং পরিপূর্ণ আকাশের সাথে অনেক ভালো সময় কাটালাম! তোমার মিষ্টি কথা শুনে আমার মন ভালো হয়ে গেল! আজকের দিনটা সত্যিই সেরা ছিল!,No
"বাজারে গিয়ে দেখলাম সস্তা দামে কিছুই পাওয়া যাচ্ছে না, মনটা খারাপ হয়ে গেলো!",No
আমার মুখে অনেক গোটা উঠে আর এগুলো অনেক চুল্কায়,Yes
"আজ আমি সৃজনশীল কিছু কাজ করেছি, এর ফল খুব ভালো হয়েছে! তোমার সহায়তা ছাড়া এই সাফল্য সম্ভব ছিল না! আজকের দিনের সফলতা আমাকে অনেক আনন্দ দিয়েছে!",No
আজকের সকালটা খুবই ভালো শুরু হয়েছে।,No
